2023-04-12 07:52:45 install gpgconf:amd64 <none> 2.2.12-1+deb10u2
2023-04-12 07:52:45 status half-installed gpgconf:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:45 status unpacked gpgconf:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:45 install lsb-base:all <none> 10.2019051400
2023-04-12 07:52:45 status half-installed lsb-base:all 10.2019051400
2023-04-12 07:52:45 status unpacked lsb-base:all 10.2019051400
2023-04-12 07:52:45 install libksba8:amd64 <none> 1.3.5-2+deb10u2
2023-04-12 07:52:45 status half-installed libksba8:amd64 1.3.5-2+deb10u2
2023-04-12 07:52:45 status unpacked libksba8:amd64 1.3.5-2+deb10u2
2023-04-12 07:52:45 install libnpth0:amd64 <none> 1.6-1
2023-04-12 07:52:45 status half-installed libnpth0:amd64 1.6-1
2023-04-12 07:52:45 status unpacked libnpth0:amd64 1.6-1
2023-04-12 07:52:45 install dirmngr:amd64 <none> 2.2.12-1+deb10u2
2023-04-12 07:52:45 status half-installed dirmngr:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:45 status unpacked dirmngr:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:45 install gnupg-l10n:all <none> 2.2.12-1+deb10u2
2023-04-12 07:52:45 status half-installed gnupg-l10n:all 2.2.12-1+deb10u2
2023-04-12 07:52:46 status unpacked gnupg-l10n:all 2.2.12-1+deb10u2
2023-04-12 07:52:46 install gnupg-utils:amd64 <none> 2.2.12-1+deb10u2
2023-04-12 07:52:46 status half-installed gnupg-utils:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status unpacked gnupg-utils:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 install gpg:amd64 <none> 2.2.12-1+deb10u2
2023-04-12 07:52:46 status half-installed gpg:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status unpacked gpg:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 install pinentry-curses:amd64 <none> 1.1.0-2
2023-04-12 07:52:46 status half-installed pinentry-curses:amd64 1.1.0-2
2023-04-12 07:52:46 status unpacked pinentry-curses:amd64 1.1.0-2
2023-04-12 07:52:46 install gpg-agent:amd64 <none> 2.2.12-1+deb10u2
2023-04-12 07:52:46 status half-installed gpg-agent:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status unpacked gpg-agent:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 install gpg-wks-client:amd64 <none> 2.2.12-1+deb10u2
2023-04-12 07:52:46 status half-installed gpg-wks-client:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 status unpacked gpg-wks-client:amd64 2.2.12-1+deb10u2
2023-04-12 07:52:46 install gpg-wks-server:amd64 <none> 2.2.12-1+deb10u2
